datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year,t2m_C,wind_ms,siconc,d2m_C,era5_lat,era5_lon,era5_region
2021-08-26 07:00:00,3572,74.19130416666667,167.27006508333335,-0.11,98.6,9.8,17.6,332.857408212867,1001.0,212.6090637496539,4.633847673201944,210.74662490969453,0.0,0.0,0.0,0.0,2021,-0.120208740234375,6.493695259094238,0.0,-1.340667724609375,74.25,167.25,east_siberian
2021-08-26 08:00:00,3562,74.07124325,167.14225375,0.06,94.7,8.149999999999999,13.7,325.1289513338964,1001.9,149.93386418611695,4.671663390460988,150.03329764868948,0.0,0.0,0.0,0.0,2021,-0.169036865234375,6.600559234619141,0.0,-1.311370849609375,74.0,167.25,east_siberian
2021-08-26 09:00:00,3556,73.97424083333334,167.5678226666667,-0.12,94.9,7.6,10.1,314.13250916661104,1001.94,120.91494880346156,4.726108540526706,122.75872285129378,0.0,0.0,0.0,0.0,2021,0.250885009765625,8.226974487304688,0.0,-1.339691162109375,74.0,167.5,east_siberian
2021-08-26 10:00:00,3558,73.97918741666666,167.98973758333335,-0.23,94.7,5.5,10.2,303.01056118392285,1001.87,57.39613454413915,4.462679485216015,60.18058294164231,0.0002810567734682,0.0,0.0,0.0,2021,0.205963134765625,8.128582000732422,0.0,-1.327972412109375,74.0,168.0,east_siberian
2021-08-26 11:00:00,3553,74.05114816666666,168.44629666666663,-0.21,93.9,5.2,10.1,291.17698125151765,1001.75,57.60226187199542,4.569566984939202,59.35377419328221,0.0,0.0,0.0,0.0,2021,0.135650634765625,8.019432067871094,0.0,-1.326019287109375,74.0,168.5,east_siberian
2021-08-26 12:00:00,3558,74.120217,168.89758675,-0.19,95.7,4.7,9.2,276.5721569505813,1001.3,62.55405058170668,4.4780414213288395,63.79825345047982,0.0,0.0,0.0,0.0,2021,0.069244384765625,7.880777835845947,0.0,-1.327972412109375,74.0,169.0,east_siberian
2021-08-26 13:00:00,3559,74.19662233333334,169.34390866666666,-0.1,97.3,6.5,14.0,295.7717695201166,1000.52,44.22432505018847,4.499540874217836,46.16242545015229,0.0005619556055071,0.0,0.0002809778027535,0.0,2021,0.079010009765625,7.85017204284668,0.0,-1.390472412109375,74.25,169.25,east_siberian
2021-08-26 14:00:00,3554,74.30682300000001,169.68064816666669,-0.15,98.2,7.6,15.3,302.6217506805302,1000.03,35.490005484830775,4.521048111011877,35.80338735235998,0.0,0.0,0.0,0.0,2021,-0.063568115234375,7.651890277862549,0.0,-1.423675537109375,74.25,169.75,east_siberian
2021-08-26 15:00:00,3553,74.42878433333334,169.9849278333333,-0.12,97.5,7.6,16.3,304.6175083480574,999.73,39.47853808383262,4.589826003577485,39.712217662484214,0.0,0.0,0.0,0.0,2021,0.032135009765625,8.333468437194824,0.0,-1.081390380859375,74.5,170.0,east_siberian
2021-08-26 16:00:00,3166,74.53010916666668,170.2980766666667,-0.11,97.0,7.5,16.4,306.7563486716199,999.5,36.58958832191407,4.539970967564047,37.70886888407912,0.0006317119393556,0.0,0.0003158559696778,0.0,2021,0.014556884765625,8.346028327941895,0.0,-1.069671630859375,74.5,170.25,east_siberian
2021-08-26 17:00:00,3541,74.64336866666666,170.69445033333335,-0.2,97.0,7.0,12.2,307.21722634748835,999.24,42.00253235289399,4.620299350388054,43.29143464071724,0.0,0.0,0.0,0.0,2021,-0.090911865234375,8.265297889709473,0.0,-1.249359130859375,74.75,170.75,east_siberian
2021-08-26 18:00:00,3571,74.75329516666667,171.0856098333333,-0.37,96.6,6.7,13.6,315.47858886693143,998.98,45.21429404466841,4.657348773199797,45.20574894620069,0.0,0.0,0.0,0.0,2021,-0.092864990234375,8.266490936279297,0.0,-1.218109130859375,74.75,171.0,east_siberian
2021-08-26 19:00:00,3559,74.85660200000001,171.50447266666663,-0.51,95.5,5.8,17.7,322.52065164512385,998.75,45.1792403193863,4.62729837366251,46.89907768507781,0.0005619556055071,0.0,0.0002809778027535,0.0,2021,-0.104583740234375,8.242341995239258,0.0,-1.190765380859375,74.75,171.5,east_siberian
2021-08-26 20:00:00,3557,74.95578083333334,171.91422483333335,-0.82,91.5,5.3,10.1,336.08303500469776,998.45,44.77787458752139,4.663726343421767,46.83969646989105,0.0,0.0,0.0,0.0,2021,-0.180755615234375,7.9792256355285645,0.0,-1.294281005859375,75.0,172.0,east_siberian
2021-08-26 21:00:00,3570,75.05424199999999,172.31435741666667,-0.96,91.8,4.4,8.1,319.16035847914407,998.45,44.81362760773557,4.5864832521340215,46.647893471977184,0.0,0.0,0.0,0.0,2021,-0.414886474609375,5.684070110321045,0.0,-1.723480224609375,75.0,172.25,east_siberian
2021-08-26 22:00:00,3560,75.08939508333333,172.74278366666664,-0.92,92.0,5.5,9.8,294.6897380814752,998.49,114.53415096899234,4.585302863959838,114.68719448505696,0.0,0.0,0.0,0.0,2021,-0.502777099609375,5.484250545501709,0.0,-2.239105224609375,75.0,172.75,east_siberian
